word	freq
girls	9.865447884248969
danced	12.871130488656128
in	4.306405066794574
the	3.3029198873794643
of	3.892923959832287
Abbey	12.871130488656128
,	2.6117112683425674
youngest	11.046581196605082
and	3.927781067774431
seemingly	11.484836127536237
most	7.259463302907732
innocent	10.719368285396666
being	7.667123801579332
chosen	10.719368285396666
to	3.8573160800898845
read	8.349341911607087
a	3.9589266470355846
sermon	13.094274039970337
filled	10.176503307886058
with	5.443034993539414
veiled	13.787421220530282
.	2.9625558970714425
bigger	9.798437173966008
trend	10.190108959941837
called	8.133179191434218
boomerang	13.787421220530282
kids	8.095374002092502
where	7.123650158734207
they	5.321310819343362
move	8.481631839143544
out	6.224480267275319
for	5.005865761983881
while	7.641091962861386
come	7.6032723295928
back	7.0708264470093045
so	6.021216209363841
we	5.732580999429258
have	5.300274950466342
all	6.179294915898881
this	6.068957972249056
look	8.0444180327208
forward	9.969708894573378
I	4.208833128262752
usually	8.511860841104863
too	6.943138364503719
It	6.386495253020875
's	4.488520671574619
silly	11.302514570742282
childish	12.534658252034914
running	9.105289993406062
after	7.234913333495692
them	6.383142102493014
like	5.8962774661414965
that	4.371449748991188
NATIONAL	11.590196643194064
BANK	13.381956112422118
at	5.552988897246758
3	9.096073338301139
p.m.	10.455216710355078
EDT	11.484836127536237
Oct.	8.796988633751546
8	8.449883140828964
1974	11.184731535085898
was	5.049487362416146
promptly	11.590196643194064
resurrected	13.787421220530282
under	7.8861549413404495
new	6.9961997578040975
owners	10.246461896492969
shore	11.0148324982905
up	6.13392631086903
confidence	10.203902282074173
other	6.638682472105605
banks	8.678450025713165
during	8.122726134582129
recession	9.895600922419655
Deere	12.871130488656128
&	7.5971058146771355
Co.	7.7376877652983245
said	5.650171599992132
it	4.582495481255599
reached	9.114592386068377
tentative	11.590196643194064
agreement	8.702916077867572
machinists	11.046581196605082
'	7.574815124778764
union	9.463288564275304
its	6.251057282125771
Horicon	13.787421220530282
Wis.	12.28334382375401
plant	8.9198867700747
ending	10.246461896492969
month-old	13.787421220530282
strike	9.780088035297812
by	5.8180634785139365
workers	9.14303032138891
facility	10.275875781699261
For	8.05894613328371
example	8.773458136341352
an	6.0000391940455815
investor	9.362574588673473
may	7.424393116989817
seek	9.789220518861084
profit	8.440313689812815
some	6.449183070464693
takeover	9.055618383608826
situations	11.079371019428072
buying	8.672425911109784
stock	7.358508519461085
one	6.055051998245895
company	6.646968177429124
involved	8.92374033939069
shorting	13.787421220530282
Oh	6.382837827426009
yeah	6.959250420890988
Right	6.899358574893881
now	6.740338876327046
've	6.695263218550366
got	6.963047550487197
narrowed	11.647355057034012
down	6.976176841928989
top	8.747227124192483
four	8.033262538549014
teams	10.190108959941837
you	4.7464466941878385
me	6.9029345684875
my	6.393235474616876
job	8.315150546858808
But	6.209531535297273
when	6.418135609507033
two	6.822813129955363
men	8.398349490713782
met	9.51772377083032
New	7.244949260023478
York	7.604303789199462
day	7.515488055488821
Mr.	6.204937346512218
Icahn	11.222471863068746
disclosed	9.718394466292471
rise	9.096073338301139
his	6.035515887451673
USX	10.473235215857757
stake	8.821086185330607
Corry	11.079371019428072
learned	9.845839412860592
wanted	8.553642375119818
him	6.833737009659746
sell	8.24224377605072
Texas	8.315150546858808
Oil	10.5293246825088
--	6.42954619289955
not	5.90794050278589
just	6.026315009447865
reserves	9.895600922419655
about	5.969594509487908
1.2	10.817006754960582
trillion	10.719368285396666
cubic	11.707979678850446
feet	9.038150690568434
natural	9.575293622651799
gas	9.20756884252648
28	10.049751602246914
million	6.184770290454083
barrels	10.651927004601133
oil	8.715377298305384
but	5.753762792644133
also	6.961961184274975
pipeline	11.046581196605082
gas-gathering	13.787421220530282
operations	8.600035414689527
who	6.599008484033329
ever	8.10554358126213
talk	8.675433432173739
is	5.026419477356251
going	6.812942309505237
be	5.551795500565972
board	8.706016855545819
because	6.465902030625286
summer	8.931492316195008
time	6.622700841758425
'm	6.726086853619845
wearing	10.548742768365901
shorts	10.791688946976292
there	6.089618936248241
are	5.692279940826609
whole	8.226739589514755
lot	6.861826023419814
know	5.31836840444198
Earlier	10.568545395662081
week	7.661644335814707
Genetics	12.28334382375401
Institute	9.807739566628321
reported	8.45228988085953
wider	11.590196643194064
losses	8.979310190545501
fiscal	9.073396629630109
third	8.556312603675696
quarter	7.883422699203576
ended	8.556312603675696
Aug.	10.5293246825088
31	9.405394585856401
Yeah	5.5838434835923305
You	7.013768926071626
been	6.328370385228442
riding	10.369694536916917
on	5.31011296281296
pink	10.791688946976292
ticket	10.954207876474067
six	8.205806379848289
years	6.776207233179916
''	5.2521916666279465
well	6.775305926223902
car	8.092006995544597
uh	5.1705637060011
eighty-six	11.079371019428072
In	6.792113044540284
year-earlier	9.628538137170612
Morgan	9.660286835485191
earned	9.836177501948855
$	5.673695134559536
or	5.759292161098523
1.25	10.897049462634119
share	7.255086928307933
Merieux	11.436045963366805
vaccine	11.590196643194064
manufacturer	10.925220339600815
based	8.663457241127023
Lyon	13.787421220530282
France	9.553314715933023
French	9.321513101875698
state-owned	11.389525947731912
Rhone-Poulenc	12.688808931862173
S.A	12.401126859410391
There	7.748357694623022
fellow	10.246461896492969
named	9.020982886946069
Blatz	12.688808931862173
over	6.953312481716444
way	7.191640706568971
Well	6.518501092336561
had	5.74633021682165
her	6.624636201371614
put	7.588942504037974
sleep	10.149835060803897
last	7.130052229256229
June	9.265632643481242
cities	9.991932031358088
very	7.124288524539479
populated	12.401126859410391
tenement	13.787421220530282
housing	10.049751602246914
more	6.315773596845463
than	6.607351346227486
family	8.107248611513215
